Name,Ticker
BRITISH SMALLER COMPANIES VCT PLC,LON:BSV
BRITVIC PLC,LON:BVIC
BROOKS MACDONALD GROUP PLC,LON:BRK
BROWN (N) GROUP PLC,LON:BWNG
BRUNNER INVESTMENT TRUST PLC,LON:44GL
BRUNNER INVESTMENT TRUST PLC,LON:BUT
B.S.D CROWN LTD,LON:BSD
BTG PLC,LON:BTG
BT GROUP PLC,LON:BT.A
BUNZL PLC,LON:BNZL
BURBERRY GROUP PLC,LON:BRBY
BURFORD CAPITAL LIMITED,LON:BUR
BUSHVELD MINERALS LIMITED,LON:BMN
BYOTROL PLC,LON:BYOT
C4X DISCOVERY HOLDINGS PLC,LON:C4XD
CABOT ENERGY PLC,LON:CAB
CADENCE MINERALS PLC,LON:KDNC
CADOGAN PETROLEUM PLC,LON:CAD
CAFFYNS PLC,LON:78GL
CAFFYNS PLC,LON:79GL
CAFFYNS PLC,LON:CFYN
CAIRN ENERGY PLC,LON:CNE
CAIRN HOMES PLC,LON:CRN
CAKE BOX HOLDINGS PLC,LON:CBOX
CALCULUS VCT PLC,LON:CLC
CALCULUS VCT PLC,LON:CLCN
CALEDONIA INVESTMENTS PLC,LON:CLDN
CALEDONIA MINING CORPORATION PLC,LON:CMCL
CALEDONIAN TRUST PLC,LON:CNN
CAMBIAN GROUP PLC,LON:CMBN
CAMBIUM GLOBAL TIMBERLAND LIMITED,LON:TREE
CAMBRIA AFRICA PLC,LON:CMB
CAMBRIA AUTOMOBILES PLC,LON:CAMB
CAMBRIDGE COGNITION HOLDINGS PLC,LON:COG
CAMELLIA PLC,LON:CAM
"CANADIAN GENERAL INVESTMENTS, LD",LON:CGI
CANADIAN OVERSEAS PETROLEUM LIMITED,LON:COPL
CAPITAL & COUNTIES PROPERTIES PLC,LON:CAPC
CAPITAL DRILLING LIMITED,LON:CAPD
CAPITAL GEARING TRUST PLC,LON:CGT
CAPITAL & REGIONAL PLC,LON:CAL
CAPITA PLC,LON:CPI
CAP-XX LIMITED,LON:CPX
CARADOR INCOME FUND PLC,LON:CIFR
CARADOR INCOME FUND PLC,LON:CIFU
CARCLO PLC,LON:CAR
CARD FACTORY PLC,LON:CARD
CARDIFF PROPERTY PLC,LON:CDFF
CARETECH HOLDINGS PLC,LON:CTH
CARIBBEAN INVESTMENT HOLDINGS LIMITED,LON:CIHL
CARILLION PLC,LON:CLLN
CARNIVAL PLC,LON:CCL
CARPETRIGHT PLC,LON:CPR
CARR'S GROUP PLC,LON:CARR
CASPIAN SUNRISE PLC,LON:CASP
CASTINGS PLC,LON:CGS
